PDU,Latest power,Latest time,Latest result,Monitor status,Status lock,Change time,Reason
dummy_DC1-10-1A1,2184,2024/5/16 3:25,,Enable,,2024/10/5 16:35,Maintenance
dummy_DC1-10-1B2,4086,2024/6/10 23:51,,Enable,,2024/10/5 16:35,
dummy_DC1-10-2A1,Alert,2024/7/5 7:51,Alert,Disable,LOCK,2024/10/05 16:48,
dummy_DC1-13-1A2,4732,2024/2/4 2:27,,Enable,,2024/10/5 16:35,
dummy_DC1-21-1A2,Alert,2024/8/6 19:09,Alert,Disable,,2024/10/05 16:48,Upgrade
dummy_DC1-21-2A1,1565,2024/3/21 10:24,,Enable,,2024/10/5 16:35,Maintenance
dummy_DC1-24-2A2,Alert,2024/2/15 23:33,Alert,Disable,LOCK,2024/10/05 16:48,
dummy_DC1-25-1A1,2859,2024/6/15 2:55,,Enable,,2024/10/5 16:35,Upgrade
dummy_DC1-27-1A1,3950,2024/5/28 14:59,,Enable,,2024/10/5 16:35,Maintenance
dummy_DC1-27-2B1,2737,2024/8/20 1:43,,Enable,,2024/10/5 16:35,Upgrade
dummy_DC1-28-1B1,Alert,2024/1/24 23:30,Alert,Enable,,2024/10/5 16:35,Upgrade
dummy_DC1-29-2A2,3431,2024/9/9 9:53,,Enable,,2024/10/5 16:35,
dummy_DC1-31-1B2,1105,2024/1/14 12:38,,Enable,,2024/10/5 16:35,Upgrade
dummy_DC1-35-2A1,4900,2024/7/15 9:28,,Enable,,2024/10/5 16:35,Upgrade
dummy_DC1-42-1B2,3656,2024/1/25 4:23,,Enable,,2024/10/5 16:35,
dummy_DC1-51-2B1,2579,2024/9/18 21:29,,Enable,,2024/10/5 16:35,Upgrade
dummy_DC1-55-1B2,4007,2024/4/1 6:00,,Enable,,2024/10/5 16:35,Maintenance
dummy_DC1-60-1B1,1754,2024/10/3 2:50,,Enable,,2024/10/5 16:35,Upgrade
dummy_DC1-60-2A2,1263,2024/3/7 22:53,,Enable,,2024/10/5 16:35,
dummy_DC1-61-1B2,2651,2024/3/5 19:54,,Enable,,2024/10/5 16:35,Maintenance
dummy_DC1-63-1A1,2796,2024/3/18 4:13,,Enable,,2024/10/5 16:35,Upgrade
dummy_DC1-65-1B1,4516,2024/6/23 6:34,,Enable,,2024/10/5 16:35,
dummy_DC1-66-1A2,2169,2024/1/7 14:11,,Enable,,2024/10/5 16:35,
dummy_DC1-76-2A2,1236,2024/9/29 10:06,,Enable,,2024/10/5 16:35,Maintenance
dummy_DC1-81-2A2,1528,2024/4/5 4:42,,Enable,,2024/10/5 16:35,Upgrade
